="Nama kampanye"	="ID Campaign"	="ID produk"	="Jenis materi iklan"	="Judul video"	="ID video"	="Akun TikTok"	="Waktu posting"	="Status"	="Jenis otorisasi"	="Biaya"	="Pesanan SKU"	="Biaya per pesanan"	="Pendapatan kotor"	="ROI"	="Impresi iklan produk"	="Jumlah klik iklan produk"	="Tingkat klik iklan produk"	="Rasio konversi iklan"	="Rasio tayang video iklan 2 detik"	="Rasio tayang video iklan 6 detik"	="Rasio tayang video iklan 25%"	="Rasio tayang video iklan 50%"	="Rasio tayang video iklan 75%"	="Rasio tayang video iklan 100%"	="Mata uang"
="teh 19 mei"	="1865607983072722"	="1730829974117385557"	="Video"	="miliki tubuh ideal dan cantik bestie!!!"	="7603411239343082772"	="Yuke Anita"	="2026-02-05 22:58"	="Ditayangkan"	="Akun resmi TikTok Shop"	="161074.000"	="51"	="3158.314"	="929035.400"	="5.77"	="29803"	="2177"	="7.30%"	="2.39%"	="82.15%"	="46.94%"	="47.52%"	="28.18%"	="8.42%"	="4.24%"	="IDR"
="teh 19 mei"	="1865607983072722"	="1730829974117385557"	="Video"	="miliki tubuh ideal dan cantik bestie!!!"	="7603411241398209813"	="Yuke Anita"	="2026-02-05 22:58"	="Ditayangkan"	="Akun resmi TikTok Shop"	="43064.000"	="20"	="2153.200"	="402854.447"	="9.35"	="12938"	="1436"	="11.10%"	="1.32%"	="68.69%"	="43.94%"	="47.76%"	="22.50%"	="11.25%"	="5.40%"	="IDR"
="teh 19 mei"	="1865607983072722"	="1730829974117385557"	="Video"	="miliki tubuh ideal dan cantik bestie!!!"	="7603411237833215252"	="Yuke Anita"	="2026-02-05 22:58"	="Ditayangkan"	="Akun resmi TikTok Shop"	="64481.000"	="20"	="3224.050"	="386588.490"	="6.00"	="9753"	="906"	="9.29%"	="2.32%"	="76.20%"	="30.29%"	="19.30%"	="6.85%"	="2.90%"	="1.36%"	="IDR"
="teh 19 mei"	="1865607983072722"	="1730829974117385557"	="Video"	="Seteguk Demi Seteguk Menuju Tubuh Ideal"	="7596094093852167442"	="Slow Living Etc"	="2026-01-17 05:44"	="Ditayangkan"	="Business Center"	="52958.000"	="17"	="3115.176"	="342317.347"	="6.46"	="9039"	="1363"	="15.08%"	="1.39%"	="82.75%"	="50.98%"	="65.62%"	="44.25%"	="27.76%"	="12.96%"	="IDR"
="teh 19 mei"	="1865607983072722"	="1730829974117385557"	="Kartu produk"	="-"	="N/A"	="-"	="-"	="Ditayangkan"	="N/A"	="1663.000"	="7"	="237.571"	="115590.395"	="69.51"	="205"	="4"	="1.95%"	="25.00%"	="-"	="-"	="-"	="-"	="-"	="-"	="IDR"
="sabun 21 mei"	="1865786618712338"	="1730526243820504405"	="Kartu produk"	="-"	="N/A"	="-"	="-"	="Ditayangkan"	="N/A"	="271.000"	="2"	="135.500"	="100923.622"	="372.41"	="22"	="1"	="4.55%"	="200.00%"	="-"	="-"	="-"	="-"	="-"	="-"	="IDR"
="teh 19 mei"	="1865607983072722"	="1730829974117385557"	="Video"	="promo beli 1 dapat 2pcs ambill👇👇#tehdaunjaticina #tehpelangsing #tehdiet "	="7634566957769051410"	="RACUN RANDOM PRODUK 👄"	="2026-04-30 21:59"	="Dalam antrean"	="Otorisasi massal afiliasi"	="14.000"	="1"	="14.000"	="35854.943"	="2561.07"	="0"	="0"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="IDR"
="teh 19 mei"	="1865607983072722"	="1730829974117385557"	="Video"	="Dari “duh perut buncit 😭” ke “wow perut rata!” Cuma butuh konsistensi + secangkir teh pelangsing tiap hari 💪💚"	="7566927232703171856"	="Catherine soule"	="2025-10-30 15:22"	="Mempelajari"	="Business Center"	="3434.000"	="2"	="1717.000"	="34427.790"	="10.03"	="580"	="57"	="9.83%"	="3.51%"	="52.18%"	="26.00%"	="28.80%"	="20.07%"	="17.28%"	="9.60%"	="IDR"
="teh 19 mei"	="1865607983072722"	="1730829974117385557"	="Video"	="miliki tubuh ideal dan cantik bestie!!!"	="7603411234909736213"	="Yuke Anita"	="2026-02-05 22:58"	="Ditayangkan"	="Akun resmi TikTok Shop"	="11010.000"	="2"	="5505.000"	="32319.991"	="2.94"	="1962"	="155"	="7.90%"	="1.29%"	="47.70%"	="19.94%"	="32.47%"	="18.90%"	="9.37%"	="5.80%"	="IDR"
="sabun 21 mei"	="1865786618712338"	="1730526243820504405"	="Video"	="Rasakan manffatnya bestie !!!"	="7540097176697851153"	="Add2Cart"	="2025-08-19 08:08"	="Ditolak"	="Akun resmi TikTok Shop"	="0.000"	="0"	="0.000"	="0.000"	="0.00"	="0"	="0"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="IDR"
="eyebrow 21 mei"	="1865786971412593"	="1731411646816945493"	="Video"	="waterproof #promomakanmerdeka  #kakasea  #pensilaliswaterproof  #fyppppppppppppppppppppppp  #xyzbca "	="7536171169934839045"	="TANTE_SUNDA27"	="2025-08-08 18:13"	="Tidak tersedia"	="Otorisasi massal afiliasi"	="0.000"	="0"	="0.000"	="0.000"	="0.00"	="0"	="0"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="0.00%"	="IDR"
